Domain, Ia, Ea
0.0295,0.000390064,0.004470864
0.02955,0.000387621,0.004522693
0.0296,0.000385154,0.004574492
0.02965,0.000382662,0.00462626
0.0297,0.000380145,0.004677994
0.02975,0.000377604,0.00472969
0.0298,0.000375038,0.004781347
0.02985,0.000372447,0.004832961
0.0299,0.000369832,0.004884531
0.02995,0.000367193,0.004936052
0.03,0.000364529,0.004987523
0.03005,0.000361841,0.005038941
0.0301,0.000359128,0.005090303
0.03015,0.000356391,0.005141607
0.0302,0.00035363,0.005192849
0.03025,0.000350845,0.005244028
0.0303,0.000348035,0.00529514
0.03035,0.000345202,0.005346182
0.0304,0.000342344,0.005397153
0.03045,0.000339462,0.005448049
0.0305,0.000336556,0.005498867
0.03055,0.000333627,0.005549606
0.0306,0.000330673,0.005600261
0.03065,0.000327696,0.005650831
0.0307,0.000324695,0.005701312
0.03075,0.00032167,0.005751703
0.0308,0.000318621,0.005801999
0.03085,0.000315549,0.0058522
0.0309,0.000312454,0.005902301
0.03095,0.000309335,0.0059523
0.031,0.000306192,0.006002194
0.03105,0.000303026,0.006051981
0.0311,0.000299837,0.006101658
0.03115,0.000296625,0.006151222
0.0312,0.000293389,0.00620067
0.03125,0.000290131,0.00625
0.0313,0.000286849,0.006299209
0.03135,0.000283545,0.006348294
0.0314,0.000280217,0.006397253
0.03145,0.000276867,0.006446082
0.0315,0.000273494,0.006494779
0.03155,0.000270099,0.006543342
0.0316,0.000266681,0.006591767
0.03165,0.000263241,0.006640051
0.0317,0.000259778,0.006688193
0.03175,0.000256293,0.00673619
0.0318,0.000252785,0.006784037
0.03185,0.000249256,0.006831734
0.0319,0.000245704,0.006879277
0.03195,0.000242131,0.006926663
0.032,0.000238536,0.00697389
0.03205,0.000234918,0.007020955
0.0321,0.00023128,0.007067855
0.03215,0.000227619,0.007114587
0.0322,0.000223938,0.00716115
0.03225,0.000220234,0.007207539
0.0323,0.00021651,0.007253753
0.03235,0.000212764,0.007299789
0.0324,0.000208997,0.007345643
0.03245,0.00020521,0.007391314
0.0325,0.000201401,0.007436798
0.03255,0.000197571,0.007482093
0.0326,0.000193721,0.007527197
0.03265,0.00018985,0.007572106
0.0327,0.000185959,0.007616817
0.03275,0.000182048,0.007661329
0.0328,0.000178116,0.007705638
0.03285,0.000174164,0.007749742
0.0329,0.000170192,0.007793638
0.03295,0.0001662,0.007837324
0.033,0.000162189,0.007880796
0.03305,0.000158157,0.007924052
0.0331,0.000154106,0.00796709
0.03315,0.000150036,0.008009907
0.0332,0.000145947,0.008052499
0.03325,0.000141838,0.008094866
0.0333,0.00013771,0.008137003
0.03335,0.000133563,0.008178908
0.0334,0.000129397,0.008220579
0.03345,0.000125213,0.008262014
0.0335,0.00012101,0.008303208
0.03355,0.000116789,0.00834416
0.0336,0.000112549,0.008384868
0.03365,0.000108292,0.008425328
0.0337,0.000104016,0.008465538
0.03375,9.97E-05,0.008505496
0.0338,9.54E-05,0.008545199
0.03385,9.11E-05,0.008584644
0.0339,8.67E-05,0.008623828
0.03395,8.24E-05,0.00866275
0.034,7.80E-05,0.008701407
0.03405,7.36E-05,0.008739796
0.0341,6.92E-05,0.008777914
0.03415,6.47E-05,0.00881576
0.0342,6.03E-05,0.00885333
0.03425,5.58E-05,0.008890622
0.0343,5.13E-05,0.008927634
0.03435,4.69E-05,0.008964363
0.0344,4.23E-05,0.009000806
0.03445,3.78E-05,0.009036962
0.0345,3.33E-05,0.009072827
0.03455,2.87E-05,0.0091084
0.0346,2.41E-05,0.009143677
0.03465,1.95E-05,0.009178657
0.0347,1.49E-05,0.009213337
0.03475,1.03E-05,0.009247714
0.0348,5.67E-06,0.009281786
0.03485,1.02E-06,0.009315551
0.0349,-3.65E-06,0.009349007
0.03495,-8.33E-06,0.00938215
0.035,-1.30E-05,0.009414979
0.03505,-1.77E-05,0.009447491
0.0351,-2.24E-05,0.009479684
0.03515,-2.72E-05,0.009511556
0.0352,-3.19E-05,0.009543104
0.03525,-3.67E-05,0.009574325
0.0353,-4.15E-05,0.009605219
0.03535,-4.63E-05,0.009635781
0.0354,-5.11E-05,0.009666011
0.03545,-5.59E-05,0.009695906
0.0355,-6.07E-05,0.009725462
0.03555,-6.55E-05,0.00975468
0.0356,-7.04E-05,0.009783555
0.03565,-7.53E-05,0.009812086
0.0357,-8.01E-05,0.00984027
0.03575,-8.50E-05,0.009868106
0.0358,-8.99E-05,0.009895591
0.03585,-9.48E-05,0.009922724
0.0359,-9.97E-05,0.009949501
0.03595,-0.000104668,0.00997592
0.036,-0.000109609,0.01000198
0.03605,-0.00011456,0.010027679
0.0361,-0.000119522,0.010053014
0.03615,-0.000124493,0.010077983
0.0362,-0.000129475,0.010102585
0.03625,-0.000134466,0.010126816
0.0363,-0.000139467,0.010150676
0.03635,-0.000144478,0.010174161
0.0364,-0.000149497,0.010197271
0.03645,-0.000154525,0.010220002
0.0365,-0.000159562,0.010242353
0.03655,-0.000164608,0.010264322
0.0366,-0.000169662,0.010285907
0.03665,-0.000174724,0.010307106
0.0367,-0.000179794,0.010327917
0.03675,-0.000184872,0.010348339
0.0368,-0.000189958,0.010368368
0.03685,-0.000195051,0.010388004
0.0369,-0.000200151,0.010407244
0.03695,-0.000205258,0.010426086
0.037,-0.000210371,0.01044453
0.03705,-0.000215492,0.010462572
0.0371,-0.000220618,0.010480211
0.03715,-0.000225751,0.010497445
0.0372,-0.00023089,0.010514273
0.03725,-0.000236035,0.010530692
0.0373,-0.000241185,0.010546701
0.03735,-0.00024634,0.010562299
0.0374,-0.000251501,0.010577482
0.03745,-0.000256666,0.01059225
0.0375,-0.000261836,0.010606602
0.03755,-0.000267011,0.010620534
0.0376,-0.000272189,0.010634046
0.03765,-0.000277372,0.010647136
0.0377,-0.000282559,0.010659803
0.03775,-0.00028775,0.010672044
0.0378,-0.000292943,0.010683858
0.03785,-0.00029814,0.010695244
0.0379,-0.00030334,0.010706199
0.03795,-0.000308543,0.010716723
0.038,-0.000313749,0.010726814
0.03805,-0.000318956,0.010736471
0.0381,-0.000324166,0.010745691
0.03815,-0.000329378,0.010754473
0.0382,-0.000334591,0.010762817
0.03825,-0.000339806,0.01077072
0.0383,-0.000345022,0.010778181
0.03835,-0.000350239,0.010785199
0.0384,-0.000355457,0.010791772
0.03845,-0.000360675,0.010797898
0.0385,-0.000365894,0.010803578
0.03855,-0.000371113,0.010808809
