Freq_Hz,Cycles_in_Window,Re_Ydd,Im_Ydd,Mag_Ydd,Phase_Ydd_deg,Re_Yqd,Im_Yqd,Mag_Yqd,Phase_Yqd_deg,Re_Ydq,Im_Ydq,Mag_Ydq,Phase_Ydq_deg,Re_Yqq,Im_Yqq,Mag_Yqq,Phase_Yqq_deg,CondNum
4.65,93,-7.48337865067723,-3.4229474415719,8.22906587755715,-155.420326507602,9.10161497521648,-1.74322476572529,9.2670506495283,-10.8425056327997,-13.4622258055858,-1.86848097019405,13.591274582487,-172.098151158239,-8.08625600818113,-4.97335022058676,9.49324752897847,-148.406927729249,1.66398825992031
4.7,94,-7.05785156076254,-3.85180557863407,8.04050215281078,-151.376601080458,9.2154182854236,-1.7332339097569,9.37699493234644,-10.6517430559654,-13.4389901313967,-1.89772335268115,13.5723177709295,-171.962390879938,-8.08484461618542,-4.92588305315894,9.46726128937302,-148.64714809916,1.68402425367876
4.75,95,-6.51850268739566,-4.08177366472923,7.69101771780963,-147.945913397542,9.31828287359994,-1.68147731870141,9.46877825729029,-10.2289050590354,-13.3818875055754,-1.91067199104273,13.5176026228481,-171.874203687028,-8.08020945678235,-4.87305432596656,9.43591242696202,-148.906445336251,1.70549444028841
4.8,96,-5.94544977488767,-4.09086469823239,7.21689316845939,-145.46944313538,9.39678154392989,-1.59595887180551,9.53134765417966,-9.63919151781824,-13.3004047449558,-1.89661320157717,13.4349509867375,-171.884440203617,-8.07501657308162,-4.81461203277384,9.40140317621117,-149.195099897488,1.72536432076649
4.85,97,-5.41845422008138,-3.88609348564092,6.66793586608768,-144.352061952027,9.44137913486201,-1.48799280697591,9.55791622487977,-8.95633572199083,-13.2066793456397,-1.84951068682431,13.3355565732827,-172.027940536308,-8.07163791493618,-4.75146922490448,9.36631189022924,-149.516280700673,1.7409870916955
4.9,98,-5.00712553861896,-3.50012306032187,6.10918714698503,-145.045357502123,9.44746591195936,-1.37096031162738,9.54642049847436,-8.25678875745964,-13.1138189861746,-1.76793230157702,13.2324537794437,-172.321993400073,-8.07213149611824,-4.6851574615491,9.33327420202221,-149.868630259818,1.7503173225202
4.95,99,-4.7651763945992,-2.98491226025648,5.62286468564511,-147.936921241611,9.41465851030545,-1.25870591308391,9.49842805106715,-7.61508100526318,-13.0340761773113,-1.65469959199491,13.1386899094127,-172.764900096489,-8.07776471390538,-4.61755351022741,9.30441202833518,-150.246093913898,1.75198569464344
5,100,-4.72661620028011,-2.40482631698856,5.30321509271793,-153.03373986048,9.3467402793176,-1.16383396784778,9.41892049832327,-7.09780228748323,-12.9778956878586,-1.51628257240625,13.0661734767422,-173.336015743194,-8.08911909553497,-4.55082356102236,9.2813707406452,-150.638512075715,1.74539978825609
5.05,101,-4.90452281168936,-1.83139851527691,5.23529985121576,-159.523858561488,9.25110274619378,-1.09739650580893,9.3159637779242,-6.76500246443407,-12.9531003454637,-1.36192954732426,13.0245023187655,-173.997795706007,-8.10603725029804,-4.48712175652745,9.26510127095875,-151.033144765195,1.73079454178814
5.1,102,-5.29058298967716,-1.33798680748448,5.45714917036943,-165.80749637863,9.13794590740036,-1.06785954717407,9.20012931534475,-6.66534821854436,-12.9645563078785,-1.20313327552849,13.0202630518295,-174.69803809701,-8.1277856528559,-4.42865495036709,9.25601881416525,-151.414987276909,1.7092501415205
