Domain, Ia
0.05465,0.026019983
0.0547,0.026066671
0.05475,0.026113399
0.0548,0.026160166
0.05485,0.026206972
0.0549,0.026253818
0.05495,0.026300703
0.055,0.026347627
0.05505,0.02639459
0.0551,0.026441592
0.05515,0.026488634
0.0552,0.026535715
0.05525,0.026582835
0.0553,0.026629994
0.05535,0.026677192
0.0554,0.026724429
0.05545,0.026771706
0.0555,0.026819022
0.05555,0.026866376
0.0556,0.02691377
0.05565,0.026961203
0.0557,0.027008675
0.05575,0.027056186
0.0558,0.027103736
0.05585,0.027151325
0.0559,0.027198953
0.05595,0.027246621
0.056,0.027294327
0.05605,0.027342072
0.0561,0.027389857
0.05615,0.02743768
0.0562,0.027485542
0.05625,0.027533443
0.0563,0.027581383
0.05635,0.027629363
0.0564,0.027677381
0.05645,0.027725438
0.0565,0.027773534
0.05655,0.027821669
0.0566,0.027869842
0.05665,0.027918055
0.0567,0.027966307
0.05675,0.028014597
0.0568,0.028062926
0.05685,0.028111295
0.0569,0.028159702
0.05695,0.028208148
0.057,0.028256632
0.05705,0.028305156
0.0571,0.028353718
0.05715,0.028402319
0.0572,0.028450959
0.05725,0.028499638
0.0573,0.028548355
0.05735,0.028597112
0.0574,0.028645907
0.05745,0.02869474
0.0575,0.028743613
0.05755,0.028792524
0.0576,0.028841474
0.05765,0.028890463
0.0577,0.02893949
0.05775,0.028988556
0.0578,0.02903766
0.05785,0.029086804
0.0579,0.029135986
0.05795,0.029185206
0.058,0.029234466
0.05805,0.029283764
0.0581,0.0293331
0.05815,0.029382475
0.0582,0.029431889
0.05825,0.029481341
0.0583,0.029530832
0.05835,0.029580362
0.0584,0.02962993
0.05845,0.029679536
0.0585,0.029729181
0.05855,0.029778865
0.0586,0.029828587
0.05865,0.029878348
0.0587,0.029928147
0.05875,0.029977984
0.0588,0.030027861
0.05885,0.030077775
0.0589,0.030127728
0.05895,0.03017772
0.059,0.030227749
0.05905,0.030277818
0.0591,0.030327925
0.05915,0.03037807
0.0592,0.030428253
0.05925,0.030478475
0.0593,0.030528736
0.05935,0.030579034
0.0594,0.030629371
0.05945,0.030679747
0.0595,0.03073016
0.05955,0.030780612
0.0596,0.030831103
0.05965,0.030881632
0.0597,0.030932199
0.05975,0.030982804
0.0598,0.031033447
0.05985,0.031084129
0.0599,0.031134849
0.05995,0.031185608
0.06,0.031236404
0.06005,0.031287239
0.0601,0.031338112
0.06015,0.031389023
0.0602,0.031439972
0.06025,0.03149096
0.0603,0.031541986
0.06035,0.03159305
0.0604,0.031644152
0.06045,0.031695292
0.0605,0.03174647
0.06055,0.031797687
0.0606,0.031848941
0.06065,0.031900234
0.0607,0.031951565
0.06075,0.032002934
0.0608,0.032054341
0.06085,0.032105786
0.0609,0.032157269
0.06095,0.03220879
0.061,0.032260349
0.06105,0.032311946
0.0611,0.032363581
0.06115,0.032415254
0.0612,0.032466966
0.06125,0.032518715
0.0613,0.032570502
0.06135,0.032622327
0.0614,0.03267419
0.06145,0.032726091
0.0615,0.03277803
0.06155,0.032830007
0.0616,0.032882021
0.06165,0.032934074
0.0617,0.032986164
0.06175,0.033038293
0.0618,0.033090459
0.06185,0.033142663
0.0619,0.033194905
0.06195,0.033247185
0.062,0.033299502
0.06205,0.033351858
0.0621,0.033404251
0.06215,0.033456682
0.0622,0.033509151
0.06225,0.033561657
0.0623,0.033614202
0.06235,0.033666784
0.0624,0.033719403
0.06245,0.033772061
0.0625,0.033824756
0.06255,0.033877489
0.0626,0.03393026
0.06265,0.033983068
0.0627,0.034035914
0.06275,0.034088798
0.0628,0.034141719
0.06285,0.034194678
0.0629,0.034247675
0.06295,0.034300709
0.063,0.034353781
0.06305,0.03440689
0.0631,0.034460038
0.06315,0.034513222
0.0632,0.034566444
0.06325,0.034619704
0.0633,0.034673001
0.06335,0.034726336
0.0634,0.034779709
