f,dd,dq,qd,qq
366.0,0.15705504168086093-1.3239419537871653j,-0.051876162705100946-0.009086632464193486j,0.07174973395193927-0.015039709749647355j,0.15677055063641032-1.3303050245858585j
373.0,0.1520913106304482-1.2917245735511704j,-0.034132722253795385-0.010453641625843505j,0.06925169365796836+0.005828106784766785j,0.12853571139384834-1.2840098820590036j
379.0,0.15867370878346468-1.26417846977224j,-0.052143996850512075-0.009438696045817666j,0.025854160758049465+0.02580851638216778j,0.2020083454554633-1.2434772571931811j
386.0,0.153987557184324-1.2273204962130237j,-0.048186474486308854-0.007042502579125823j,0.0372604258025292-0.003956619238066052j,0.16553160530765343-1.2161144745547463j
393.0,0.1433644476832231-1.1937806888710365j,-0.04775021890740819-0.00783532123910572j,0.08528400671114698-0.004952597652978687j,0.14206001966433468-1.1872169280088631j
399.0,0.14969727172776054-1.164159441027488j,-0.04602872939883104-0.008149352927102518j,0.0247808580947506-0.0156698669174109j,0.16957814463727028-1.1598733002176245j
406.0,0.14655566801551073-1.1371627666553836j,-0.04087243063588433-0.005613350351981676j,0.044427033723112554+0.009572572611310861j,0.14778336000859627-1.1492700252743169j
414.0,0.13786122195266642-1.1085926372891415j,-0.038045616955215786-0.010290455199288586j,0.06916762227639997+0.007520543726656046j,0.11450167166075453-1.0923730187776453j
421.0,0.1419407126224528-1.0708041874544525j,-0.04695016386775632-0.012095201592527471j,0.056159592679305245-0.0018547095086114543j,0.1446012763215575-1.0394143570505225j
428.0,0.13760492252369141-1.0486328748848106j,-0.04286289336583101-0.007581664111978505j,0.05217371886400761+0.02395617369439546j,0.13462328907893828-1.05149769580821j
436.0,0.13894290701796005-1.0190201835895334j,-0.04281441927029839-0.0041038100858730026j,0.045000234166923045+0.03261103958045941j,0.14412795331269312-1.0318227381280776j
443.0,0.13881621781222417-0.981283416244011j,-0.04200353150287177-0.0064077908336896j,0.02438880375354469-0.013548053401979917j,0.12807958804111175-0.9900669826847064j
451.0,0.12828638354002034-0.9624622127747015j,-0.04054549763942587-0.008800320701809548j,0.060796982628501015+0.013417889839025319j,0.1185102112695181-0.9391311101118389j
459.0,0.13182722436458483-0.9263707100195642j,-0.042004025027286604-0.005076536023045357j,0.0417389801032432-0.007585574741179827j,0.12059951293444338-0.931067454889303j
467.0,0.1298466342419078-0.9010105828178774j,-0.04080881871376339-0.011057318590755726j,0.04626796221052109+0.0034915750038028905j,0.1354995383998654-0.9051255752095478j
